symbol	logFC	entrezID
NOS2	1	4843
AR	1	367
PTGS2	1	5743
ESR1	1	2099
PPARG	1	5468
MAPK14	1	1432
GSK3B	1	2932
AKR1B1	1	231
ACHE	1	43
ADRB2	1	154
KDR	1	3791
JUN	1	3725
IL4	1	3565
IKBKB	1	3551
AKT1	1	207
CASP3	1	836
MAPK8	1	5599
HMOX1	1	3162
ICAM1	1	3383
SELE	1	6401
VCAM1	1	7412
AHR	1	196
SLC2A4	1	6517
INSR	1	3643
GSTM1	1	2944
VEGFA	1	7422
CCND1	1	595
FOS	1	2353
MMP2	1	4313
MMP9	1	4318
MAPK1	1	5594
IL10	1	3586
EGF	1	1950
IL6	1	3569
CASP8	1	841
SOD1	1	6647
HIF1A	1	3091
ACACA	1	31
CAV1	1	857
F3	1	2152
GJA1	1	2697
IL1B	1	3553
CCL2	1	6347
CXCL8	1	3576
PRKCB	1	5579
NOS3	1	4846
HSPB1	1	3315
IL2	1	3558
PLAT	1	5327
THBD	1	7056
SERPINE1	1	5054
IFNG	1	3458
IL1A	1	3552
MPO	1	4353
PARP1	1	142
PPARA	1	5465
PPARD	1	5467
CRP	1	1401
CXCL10	1	3627
SPP1	1	6696
CTSD	1	1509
IGFBP3	1	3486
IGF2	1	3481
CD40LG	1	959
PON1	1	5444
HK2	1	3099
RASA1	1	5921
NR3C2	1	4306
NR3C1	1	2908
